"Dime Store","Diners",4.5
"Green Dot Stables","Bars",4
"Dime Store","Breakfast & Brunch",4.5
"Dime Store","American (New)",4.5
"Selden Standard","American (New)",4.5
"Green Dot Stables","American (New)",4
"Selden Standard","Breakfast & Brunch",4.5
"Selden Standard","Sandwiches",4.5
"Chartreuse","American (New)",4.5
"Chartreuse","Tapas/Small Plates",4.5
"Chartreuse","Cocktail Bars",4.5
"Detroit Institute of Arts","Art Museums",4.5
"Slows Bar BQ","Beer Bar",4
"Slows Bar BQ","Barbeque",4
"Slows Bar BQ","American (Traditional)",4
"Supino Pizzeria","Pizza",4.5
"Supino Pizzeria","Italian",4.5
"Mudgie's Deli & Wine Shop","Delis",4.5
"Mudgie's Deli & Wine Shop","Wine Bars",4.5
"Mudgie's Deli & Wine Shop","American (Traditional)",4.5
"Wright & Company","Gastropubs",4.5
"Wright & Company","American (New)",4.5
"Wright & Company","Tapas/Small Plates",4.5
"Roast","Steakhouses",4
"Lafayette Coney Island","Hot Dogs",4
"Lafayette Coney Island","American (New)",4
"Grey Ghost Detroit","American (Traditional)",4
"Grey Ghost Detroit","Beer Bar",4
"Grey Ghost Detroit","Cocktail Bars",4
"ima","Noodles",4.5
"ima","Soup",4.5
"Taqueria El Rey","Mexican",4.5
"Taqueria El Rey","Beer Bar",4.5
"Taqueria El Rey","Seafood",4.5
"Takoi","Thai",4.5
"Takoi","Pan Asian",4.5
"Takoi","Cocktail Bars",4.5
"Standby","American (New)",4.5
"Standby","Cocktail Bars",4.5
"The Hudson Cafe","Cafes",4
"Batch Brewing Company","American (New)",4.5
"The Hudson Cafe","Breakfast & Brunch",4
"Batch Brewing Company","Brewpubs",4.5
"The Sugar House","Beer Bar",4.5
"Ottava Via","Pizza",4
"Ottava Via","Sandwiches",4
"Ottava Via","Italian",4
"Motown Historical Museum","Museums",4.5
"Vicente's Cuban Cuisine","Cuban",4
"Vicente's Cuban Cuisine","Dance Clubs",4
"Vicente's Cuban Cuisine","Seafood",4
"Motor City Brewing Works","Pizza",4
"The Sugar House","Wine Bars",4.5
"Motor City Brewing Works","Salad",4
"The Sugar House","Cocktail Bars",4.5
"Motor City Brewing Works","Brewpubs",4
"Royale with Cheese","Burgers",4
"Taqueria Mi Pueblo","Mexican",4
"Pie Sci","Pizza",4.5
"Bakersfield","Bars",4
"Johnny Noodle King","Ramen",4
"Bakersfield","Tacos",4
"Republic","American (New)",4
"Johnny Noodle King","Chinese",4
"Johnny Noodle King","Noodles",4
"Mercury Burger Bar","Burgers",4
"Mercury Burger Bar","Beer Bar",4
"SavannahBlue","American (New)",4
"SavannahBlue","Soul Food",4
"SavannahBlue","Cocktail Bars",4
"Avalon International Breads","Sandwiches",4.5
"Avalon International Breads","Bakeries",4.5
"Avalon International Breads","Coffee & Tea",4.5
"Honey Bee La Colmena","Mexican",4.5
"Buddy's Pizza","Salad",4.5
"Buddy's Pizza","Pizza",4.5
"Buddy's Pizza","Italian",4.5
"For the Love of Sugar","Patisserie/Cake Shop",4.5
"For the Love of Sugar","Coffee & Tea",4.5
"For the Love of Sugar","Macarons",4.5
"Honey Bee La Colmena","Grocery",4.5
"Bobcat Bonnie's","Gastropubs",4
"Bobcat Bonnie's","Breakfast & Brunch",4
"Bobcat Bonnie's","Cocktail Bars",4
"Urban Ramen","Ramen",4
"Urban Ramen","Poke",4
"Urban Ramen","Noodles",4
"Andiamo","Italian",4
"Andiamo","Wine Bars",4
"Andiamo","Cocktail Bars",4
"Joe Muer Seafood","Seafood",4
"Joe Muer Seafood","Sushi Bars",4
"Joe Muer Seafood","American (Traditional)",4
"Giovanni's Ristorante","Italian",4.5
"The Apparatus Room","American (New)",4
"The Apparatus Room","Cocktail Bars",4
"Sister Pie","Desserts",4.5
"Sister Pie","Coffee & Tea",4.5
"Sister Pie","Bakeries",4.5
"SheWolf Pastificio & Bar","Italian",4
"SheWolf Pastificio & Bar","Bars",4
"Pupusería y Restaurante Salvadoreño","Salvadoran",4.5
"Chili Mustard Onions","Vegan",4.5
"Roasting Plant Detroit","Coffee & Tea",4.5
"Roasting Plant Detroit","Cafes",4.5
"Roasting Plant Detroit","Coffee Roasteries",4.5
"Vertical Detroit","Wine Bars",4
"Vertical Detroit","Steakhouses",4
"Vertical Detroit","American (New)",4
"HopCat","Beer Bar",3.5
"HopCat","Burgers",3.5
"Cornerstone Barrel House","American (New)",4.5
"Cornerstone Barrel House","Whiskey Bars",4.5
"El Barzon","Italian",4
"El Barzon","Mexican",4
"Dutch Girl Donuts","Bakeries",4.5
"Dutch Girl Donuts","Donuts",4.5
"Brooklyn Street Local","Vegetarian",4
"La Feria","Tapas Bars",4
"Brooklyn Street Local","Diners",4
"La Feria","Spanish",4
"Brooklyn Street Local","Vegan",4
"Marrow","American (New)",4.5
"Marrow","Butcher",4.5
"Rock City Eatery","American (New)",4
"Rock City Eatery","Cocktail Bars",4
"Rock City Eatery","Tapas/Small Plates",4
"Jolly Pumpkin Pizzeria and Brewery- Detroit","Breweries",4
"Jolly Pumpkin Pizzeria and Brewery- Detroit","Pubs",4
"Jolly Pumpkin Pizzeria and Brewery- Detroit","American (Traditional)",4
"Parc","Breakfast & Brunch",4
"Honest John's Bar & Grill","Pubs",4
"Parc","American (New)",4
"Parc","Bars",4
"Campus Martius Park","Parks",4.5
"Honest John's Bar & Grill","Burgers",4
"Honest John's Bar & Grill","Breakfast & Brunch",4
"Astoria Pastry Shop","Bakeries",4
"Astoria Pastry Shop","Desserts",4
"El Asador","Mexican",4
"El Asador","Seafood",4
"Taqueria Lupita's","Mexican",4
"El Asador","Steakhouses",4
"Detroit Vegan Soul","Vegetarian",4
"Detroit Vegan Soul","Soul Food",4
"Great Lakes Coffee Roasting Company","Beer, Wine & Spirits",4
"Great Lakes Coffee Roasting Company","Coffee Roasteries",4
"Detroit Shipping Company","Food Court",4
"Detroit Shipping Company","Beer Gardens",4
"Detroit Vegan Soul","Vegan",4
"Rocco's Italian Deli","Italian",4.5
"Rocco's Italian Deli","Sandwiches",4.5
"Rocco's Italian Deli","Salad",4.5
"Seva Detroit","Vegetarian",3.5
"Seva Detroit","Vegan",3.5
"RiverWalk","Parks",4.5
"San Morello","Italian",4
"Texas de Brazil","Brazilian",3.5
"Texas de Brazil","Steakhouses",3.5
"Texas de Brazil","Venues & Event Spaces",3.5
"Belle Isle Park","Parks",4.5
"Cannelle Matt Knio","Coffee & Tea",4.5
"Cannelle Matt Knio","Bakeries",4.5
"Cannelle Matt Knio","Sandwiches",4.5
"Detroit 75 Kitchen","Food Trucks",4.5
"Detroit 75 Kitchen","American (Traditional)",4.5
"Detroit 75 Kitchen","Sandwiches",4.5
"Detroit Water Ice Factory","Ice Cream & Frozen Yogurt",4.5
"Detroit Water Ice Factory","Shaved Ice",4.5
"Detroit Water Ice Factory","Popcorn Shops",4.5
"The London Chop House","Steakhouses",4
"Cliff Bell's","Bars",3.5
"Cliff Bell's","Jazz & Blues",3.5
"The London Chop House","Cigar Bars",4
"The London Chop House","Cocktail Bars",4
"Cliff Bell's","American (New)",3.5
"Duly's Place","Diners",4.5
"Gus's World Famous Fried Chicken","Southern",4
"Gus's World Famous Fried Chicken","Comfort Food",4
"Gus's World Famous Fried Chicken","Chicken Shop",4
"Mootz Pizzeria + Bar","Pizza",4
"Mootz Pizzeria + Bar","Bars",4
"Narrow Way Cafe & Shop","Bakeries",5
"Narrow Way Cafe & Shop","Juice Bars & Smoothies",5
"The Skip","Cocktail Bars",4
"Narrow Way Cafe & Shop","Cafes",5
"The Skip","Beer Bar",4
"Lumen Detroit","American (New)",4
"Charles H Wright Museum of African American Histor","Museums",5
"Michigan & Trumbull","Pizza",4.5
"Michigan & Trumbull","Wine Bars",4.5
"Michigan & Trumbull","Cocktail Bars",4.5
"Jacoby's German Biergarten","German",4
"Jacoby's German Biergarten","Pubs",4
"Eastern Market Brewing Company","Breweries",4.5
"Eastern Market Brewing Company","Beer Bar",4.5
"Eastern Market Brewing Company","Pubs",4.5
"The Jamaican Pot","Soul Food",4
"Spread Detroit","Delis",4.5
"Spread Detroit","Coffee & Tea",4.5
"Detroit Historical Museum","Museums",4.5
"Prime and Proper","Steakhouses",4
"Flowers of Vietnam","Vietnamese",4
"The Jamaican Pot","Caribbean",4
"Spread Detroit","American (Traditional)",4.5
"The Peterboro","Chinese",4
"The Peterboro","Cocktail Bars",4
